Ticker,Risk
FWRD,14.724164531234326
FOSL,87.97909650533339
FELE,20.808280411940274
FTR,40.519329530906305
FULT,6.367222333341678
GK,-10.0
GLPI,14.787485309573736
GRMN,3.3232420101923816
GNTX,3.4039356859888197
ROCK,15.891373405580202
GILD,8.698844892698485
GBCI,5.7157153009808015
GLNG,22.37612337825678
LOPE,29.841833290914728
GRFS,1.621025897679034
GRPN,7.511633019631638
GPOR,24.189662787371567
GWPH,34.624451013029876
HALO,19.26355413796027
HBHC,9.419711681248328
HAS,41.07562691738356
HA,24.617955796044576
HDS,27.39449855028658
HCSG,15.991801926123294
HQY,6.634364587918274
HTLD,3.819332580874963
HELE,6.328994388150029
HSIC,8.464628284451727
MLHR,13.137780084784442
HMSY,13.31585557254245
HOLX,2.640239597568754
