UPDATE 1-Party invite on Facebook sparks melee in Dutch town ,2012-09-22
Facebook shares drop after Barron's snub ,2012-09-24
French government asks Facebook to explain data glitch ,2012-09-25
French govt asks Facebook to explain data glitch ,2012-09-25
UPDATE 1-French watchdog to continue Facebook glitch inquiry ,2012-09-25
Middle East telcos mull alliance in Facebook fight ,2012-09-26
Middle East telcos mull alliance in Facebook fight ,2012-09-26
California schools  employers banned from social media snooping ,2012-09-27
California schools  employers banned from social media snooping ,2012-09-27
Real gifts sold on Facebook as site taps commerce potential ,2012-09-27
Real gifts sold on Facebook as site taps commerce potential ,2012-09-27
EU lawmaker calls for tighter data rules after Facebook row ,2012-09-28
EU lawmaker calls for tighter data rules after Facebook row ,2012-09-28
Russia's richest man is out to prove a point ,2012-09-28
Facebook's new pitch to brand advertisers: forget about clicks ,2012-10-01
Facebook's new pitch to brand advertisers: forget about clicks ,2012-10-01
Medvedev points Facebook's Zuckerberg towards Russian IT sector ,2012-10-01
Medvedev points Facebook's Zuckerberg towards Russian IT sector ,2012-10-01
UPDATE 1-Facebook's new pitch to brand advertisers: forget about clicks ,2012-10-01
Facebook's new pitch to brand advertisers: forget about clicks ,2012-10-02
Florida fund manager admits to Facebook and Groupon shares scam ,2012-10-02
"LinkedIn seeks wider use with ability to ""follow"" ",2012-10-02
"LinkedIn seeks wider use with ability to ""follow"" ",2012-10-02
Medvedev points Facebook's Zuckerberg towards Russian IT sector ,2012-10-02
Facebook lets U.S. users pay to boost visibility of postings ,2012-10-03
Facebook lets U.S. users pay to boost visibility of postings ,2012-10-03
BRIEF-Facebook reaches one billion monthly active users ,2012-10-04
CORRECTED-UPDATE 1-Facebook reaches 1 billion monthly active users ,2012-10-04
Facebook crosses billion threshold  on quest for growth ,2012-10-04
Facebook IPO lawsuits to be heard in New York ,2012-10-04
Facebook IPO lawsuits to be heard in New York ,2012-10-04
Facebook IPO lawsuits to be heard in New York ,2012-10-04
Facebook reaches 1 billion monthly active users in September ,2012-10-04
PRESS DIGEST - Financial Times - Oct 5 ,2012-10-04
UPDATE 5-Facebook crosses billion threshold  on quest for growth ,2012-10-04
BRIEF-Facebook shares fall in premarket trade ,2012-10-05
Facebook IPO lawsuits to be heard in New York ,2012-10-05
Facebook's head of communications to leave company ,2012-10-05
Facebook's head of communications to leave company ,2012-10-05
PRESS DIGEST - British business - Oct 4 ,2012-10-05
UPDATE 1-Facebook IPO lawsuits to be heard in New York ,2012-10-05
"Facebook partners with retailers to test ""want"" button ",2012-10-08
"Facebook partners with retailers to test ""want"" button ",2012-10-08
"Facebook partners with retailers to test ""want"" button ",2012-10-08
"Facebook pitches new $20 million ""Sponsored Stories"" settlement ",2012-10-08
Facebook pitches new $20 million 'Sponsored Stories' settlement ,2012-10-08
Facebook opens first international engineering centre in London ,2012-10-16
Facebook opens first international engineering centre in London ,2012-10-16
Thiel could invest $150 million in AirBnb - report ,2012-10-19
Thiel could invest $150 million in AirBnb: report ,2012-10-19
